Unnamed: 0,대륙,국가,사업명,사업형태,발주처,수행기간,사업비(억원),분야,형태,사업명(영문),경평용,단계
120,아프리카,탄자니아 ,탄자니아 이링가 수력발전사업 기술적 타당성검토 및 예비타당성조사 ,ODA,자체비용, ’12.07∼’12.09,0.1,수자원,F/S,Review of Technical Feasibility and Iringa Hydro Power Project,ODA,완료
121,아시아,태국,짜오프라야유역 수자원개발 MP,ODA,국토교통부,’16.05 ~ ’17.02,10.0,수자원,MP,"The Comprehensive Study of Additional Water Supply to Chao Phraya Basin from Nearby Basins, Thailand",ODA,완료
122,아시아,태국,(물시장) 물관리 협력사업 타당성조사,수주사업(환경부),,,,,,,수주사업(환경부),완료
123,아시아,태국 ,태국 푸미폰댐 용수공급 증대를 위한 F/S , 현지재정(RID),RID,’16.11 ~ ’17.12,2.5,수자원,F/S,Review of Feasibility Study for Bhumibol Inflow Augmentation Project, 현지재정(RID),완료
124,아시아,파키스탄,SDG6 달성을 위한 수질모니터링 시스템 역량강화사업 PMC,ODA,,,,,,,ODA,진행
125,아시아,파키스탄,파키스탄 Patrind 수력발전사업,투자사업,,,,,,,투자사업,진행
126,중남미,페루,아마릴리스 식수개발 및 상수도설치 타당성조사,ODA,KOICA,’04.12 ~ ’06.02,7.5,수도,PMC,"Water Supply and Sanitation Project in Amaryllis, Peru",ODA,완료
127,중남미,페루,리막강 복원 MP 수립,ODA,국토교통부,’14.07 ~ ’15.03,10.1,수자원,MP,Master Plan of Restoration of Rimac Riiver,ODA,완료
128,중남미,페루,(KSP-IDB공동컨설팅) 페루 수해예방 사업 추진을 위한 사전 타당성 조사,ODA,K-Exim,’18.11.~’19.06.,3.0,수자원,F/S,Preliminary Feasibility Study on the Flood Prevention in Peru,ODA,완료
129,중남미,페루,리막강 통합수자원 관리체계 구축방안 연구,ODA,환경부, ’18.10∼’21.12,16.5,수자원,PMC,Consultancy Services for The Construction of Integrated Water Resources Mangement (IWRM) Sytem for The Rimac RIiver Basin Peru,ODA,완료
130,중남미,페루 ,페루 통합수자원정보센터 구축사업 타당성조사 용역 ,ODA,자체비용,’15.08 ~ ’15.12,0.9,수자원,F/S,Feasibility Study for The Construction of Integrated Water Resources Mangement (IWRM) Sytem for The Rimac RIiver Basin Peru,ODA,완료
131,아시아,필리핀,말리나오댐 개선 타당성조사 및 실시설계,ODA,KOICA,’08.05 ~ ’09.05,5.5,수자원,"F/S, 실시설계","The Feasibility Studies and Detailed Design on the Improvement of Malinao Dam, Bohol Province",ODA,완료
132,아시아,필리핀,통합수자원관리 GIS 구축 PMC,ODA,KOICA,’13.08 ~ ’15.09,3.4,수자원,PMC,Integrated Water Resource Management GIS Establishment,ODA,완료
133,아시아,필리핀,팜팡가강 유역 수자원 통합관리 시스템 구축 2차 사업 PM 용역,ODA,KOICA,'18.12~'23.04,17.5,수자원,PMC,Establishment of an Integrated 3D-GIS based Water Resources Management Information System for the Pampanga River Basin,ODA,진행
134,아시아,필리핀,팜팡가주 홍수통제 및 교사신축사업 타당성조사,ODA,EDCF,’08.10 ~ ’09.04,1.3,수자원,F/S,A Feasibility Study on Flood Control Measures in MT. Pinatubo Devastated Area and Rehabilitation of School Buildings,ODA,완료
135,아시아,필리핀,(대행)아파리시 스마트 물관리 사업,ODA,,,,,,,ODA,진행
136,아시아,필리핀,Angat 수력발전사업,투자사업,,,,,,,투자사업,진행
137,아시아,필리핀,Bulacan 상수도 사업,투자사업,,,,,,,투자사업,진행
138,아시아,필리핀,Battan주 상수도사업 기술자문,수주사업,,,,,,,수주사업(BWSC),완료
139,아시아,인도네시아,인도네시아 수상태양광 개발 마스터플랜 수립,수주사업,,,,,,,수주사업(환경부),개발중
140,아시아,인도네시아,(그린ODA) 누산따라 신수도 탄소중립 인프라 구축사업,ODA,,,,,,,ODA,진행
141,아시아,캄보디아,(그린ODA)기후변화대비 상커강 유역 통합물관리 엔지니어링 사업,ODA,,,,,,,ODA,개발중
142,아프리카,케냐,케냐 나이로비 기후위기 대응 스마트물관리 도입 예비타당성 조사,수주사업,,,,,,,수주사업(환경부),개발중
143,아시아,키르기스스탄,(신규-KEXIM)마을 소규모 상하수도 개선계획 및 역량강화 사업,ODA,,,,,,,ODA,개발중
144,아시아,필리핀,(대행)라오그강 AI기반 홍수예경보시스템 구축 시범사업,ODA,,,,,,,ODA,진행
145,아시아,필리핀,(그린)필리핀 카방칼란시 저탄소 스마트물관리 사업,ODA,,,,,,,ODA,개발중
146,중남미,"멕시코, 페루",(IDB) 중남미 누수저감 및 물재이용 관련 IDB Invest 협력사업,ODA,,,,,,,ODA,진행
147,아시아,인도,케랄라 SWM 시범사업*,ODA,,,,,,,ODA,개발중
148,아시아,인도네시아,스마랑시 상수도 현대화사업 타당성조사,ODA,EDCF, ’20.08.∼’21.04,5.6,수도,F/S,Feasibility Study of Smart Water Management in Smarang,ODA,진행
149,유럽,우크라이나,2023 K-City Network 우크라이나 우만 스마트도시 마스터플랜 수립,수주사업(국토부),,,,,,,수주사업(국토부),진행
150,아시아,인도네시아,신수도 상ㆍ하수도 사업 기본구상 수립,수주사업,,,,,,,수주사업(환경부),개발중
151,아프리카,보츠와나 ,보츠와나 통합물관리 시스템(TWMS) 구축사업,수주사업,,,,,,,수주사업(보.정부),개발중
152,유럽,우크라이나,"우크라이나 재건사업 참여여건 조사 
및 타당성 분석 용역",자체비용,,,,,,,자체비용,개발중
153,아시아,필리핀,필리핀 CBK 수력발전소 인수사업 ,자체비용,,,,,,,자체비용,개발중
154,아시아,필리핀,필리핀 다목적댐-135 사업 M/P 수립,자체비용,,,,,,,자체비용,개발중
155,아시아,필리핀,(물시장) 뉴클락시티 물관리 초격차 기술 시범적용 및 M/P 수립,수주사업,,,,,,,수주사업(환경부),진행
156,아시아,아랍에미리트,(물시장) UAE 스마트물관리 파일럿 프로젝트,수주사업,,,,,,,수주사업(환경부),진행
157,아시아,"캄보디아, 라오스",(물시장) 메콩 자연친화기술 적용 수자원인프라 시범구축 Pre-F/S 사업,수주사업,,,,,,,수주사업(환경부),진행
158,유럽,우크라이나,(물시장) 우크라이나 상수도시설 현대화 예비타당성 조사·마스터플랜 수립,수주사업,,,,,,,수주사업(환경부),진행
