Unnamed: 0,대륙,국가,사업명,사업형태,발주처,수행기간,사업비(억원),분야,형태,사업명(영문),경평용,단계
73,아시아,인도네시아,누사뜽가라 동부섬 수자원 MP 수립용역,ODA,국토교통부,’17.06 ~ ’17.12,8.6,수자원,MP,"Master Plan for Water Resources Development In Nusa Teggara Timur, Indonesia ",ODA,완료
74,아시아,인도네시아,덴파사르 스마트물관리 마스터플랜 수립용역,ODA,국토교통부, ’18.08.~’19.06.,8.0,수도,MP,Master Plan for Smart Water Management in Depasar,ODA,완료
75,아시아,인도네시아,"왈림퐁, 보야 수자원관개시설 용역",ODA,ADB, ’19.09∼’22.02,25.0,수자원,PMC,Walimpong and Boya Irrigation Project,ODA,완료
76,아시아,인도네시아,신수도 스마트시티 기본구상 및 시범사업 발굴,ODA,국토교통부,'20.07~'21.03,4.9,도시,기본계획,"Basic plan and the Excavation of Pilot Project  for Smart City, Indonesia",ODA,완료
77,아시아,인도네시아,코타보고르시 하수처리 개선 타당성조사,ODA,KEITI,21.05~'22.03,4.0,수도,F/S,"Feasibility Study for the Improvement of Sewage Treatment in Kota Bogor, Indonesia",ODA,완료
78,중남미,온두라스,Choluteca유역 개발사업,수주사업,,,,,,,수주사업(BWSC),개발중
79,아시아,인도네시아,(대행) 플로레스 ICT기반 수문계측 고도화 시범사업,ODA,환경부,’20.04.∼’22.11,23.0,수자원,대행,"Pilot project for advanced ICT-based hydrologic measurement in the west Flores island, Indonesia",ODA,완료
80,아시아,인도네시아,(대행) 덴파사르 스마트물관리 시범사업,ODA,환경부,’21.01.∼’25.12.,7.9,수도,대행,Pilot Project of Smart Water Management in Depasar,ODA,진행
81,아시아,인도네시아,인도네시아 Karian 상수도사업,투자사업,,,,,,,투자사업,진행
82,아시아,인도네시아,인도네시아 Hasang O&M, 수주사업(LX인터내셔널),LX인터내셔널, ’16.03.∼'26.01,103.5,수자원,PMC,Hasang HEPP Operation & Maintenance Project, 수주사업(LX인터내셔널),진행
83,아시아,인도네시아 ,인도네시아 통합물관리시스템 구축 마스터플랜 수립 용역 ,자체비용,,,,,,,자체비용,완료
84,아시아,인도네시아 ,인도네시아 덴파사 SWM 예비 타당성조사사업 ,ODA,해외건설협회,’16.07 ~ '16.12,0.2,수도,F/S,Preliminary Feasibility Study for Smart Water Management in Depasar,ODA,완료
85,아시아,인도네시아 ,인도네시아 덴파사 SWM 구축사업 타당성조사 용역 ,ODA,,,,,,,ODA,완료
86,아프리카,적도기니 ,적도기니 몽고모 정수장 유지관리사업 , 현지재정(적.정부),적도기니 정부,"’06.11 ~ ’09.11
’12.12 ~ ’19.05",314.0,수도,기술지원,Management Assistance of Water Treatment Plant in Mongomo, 현지재정(적.정부),완료
87,아프리카,적도기니 ,적도기니 에베비인·에비나용 정수장 운영관리 사업 , 현지재정(적.정부),적도기니 정부, ’13.01.~’19.08.,220.0,수도,기술지원,Management Assistance of Water Treatment Plant in Ebebiyín·Evinayong, 현지재정(적.정부),완료
